NAGPUR,MAHARASHTRA,HIGH,3,SAOJI POHE
MUMBAI,MAHARASHTRA,HIGH,4,VADA PAV
JAIPUR,RAJASTHAN,MODERATE,4,DAL BATI CHURMA
AGRA,UTTAR PRADESH,LOW,3,PETHA
MAHABALESHWAR,MAHARASHTRA,HIGH,3,PEDHA
KOLKATA,WEST BENGAL,MODERATE,3,SANDESH
CHENNAI,TAMIL NADU,HIGH,2,UTTAPUM
VARANASI,UTTAR PRADESH,MODERATE,3,MALPUA
RISHIKESH,UTTARAKHAND,MODERATE,5,SINGORI
SHILLONG, MEGHALAYA,MODERATE,3,CHOW MEIN
RAIPUR,CHHATTISGARH,MODERATE,3,MAHUWA AND BAFAURI
PANAJI,GOA,MODERATE,4,GOAN FISH CURRY
RANCHI,JHARKHAND,MODERATE,3,BAIGAN CHOP & THEKUA
AHMEDABAD,GUJARAT,HIGH,3,THEPLA
IMPHAL,MANIPUR,MODERATE,3,SOIBUM EROMBA
TIRUPATI,ANDHRA PRADESH,HIGH,3,PESARATTU
BHOPAL,MADHYA PRADESH,HIGH,3,POHA JALEBI
THIRUVANANTHAPURAM,KERELA,HIGH,3,SADYA
PUNE,MAHARASHTRA,HIGH,4,PURAN POLI
SURAT,GUJARAT,HIGH,4,DHOKLA
VADODARA,GUJARAT,HIGH,3,PHAFDA
DEHRADUN,UTTRAKHAND,MODERATE,3,PHAANU
KANPUR,UTTAR PRADESH,LOW,2,REVARI
DARJEELING,WEST BENGAL,MODERATE,2,MISHTI DOI
AGARTALA,TRIPURA,HIGH,2,MUI BOROK
SHIMLA,HIMACHAL PRADESH,MODERATE,3,MADRA
GANGTOK,SIKKIM,HIGH,4,MOMOS
JAISALMER,RAJASTHAN,MODERATE,3,MOHAN THAAL
GWALIOR,MADHYA PRADESH,MODERATE,3,SEEKH KEBABS
JALANDHAR,PUNJAB,LOW,3,CHOLE BHATURE
AURANGABAD,MAHARASHTRA,HIGH,3,SHRIKHAND
ROURKELA,ODISHA,MODERATE,2,CHENNA PODA
ALLAHABAD,UTTAR PRADESH,MODERATE,3,BAIGAN KI LONGE
MADURAI,TAMIL NADU,HIGH,3,RASAM
JODHPUR,RAJASTHAN,MODERATE,4,MAWA KACHORI
CHERRAPUNJI,MEGHALAYA,MODERATE,4,JADOH WITH RICE
UJJAIN,MADHYA PRADESH,MODERATE,4,SEV
LUDHIANA,PUNJAB,LOW,3,MAKKI DI ROTI
KOTA,RAJASTHAN,MODERATE,1,GATTE
PATNA,BIHAR,MODERATE,2,LITTI CHOKA
GUWAHATI,ASSAM,HIGH,3,MASOOR TENGA
AKOLA,MAHARASHTRA,HIGH,2,BASUNDI
KOCHI,KERELA,HIGH,2,IDIYAPPAM
SRINAGAR,JAMMU AND KASHMIR,LOW,3,ROGAN JOSH
MATHURA,UTTAR PRADESH,HIGH,4,BEDHAI
INDORE,MADHYA PRADESH,HIGH,3,MAWA BATI
KOLHAPUR,MAHARSHTRA,MODERATE,3,PANDHARA RASSA
VISAKHAPATNAM,ANDHRA PRADESH,MODERATE,3,PULIHORA
BENGALURU,KARNATAKA,HIGH,2,BISIBELE BATH
TAWANG,ARUNACHAL PRADESH,MODERATE,4,APONG
